ep_str,r_str,ep,r
Episode 85,Reward: 575.0,85,575
Episode 86,Reward: 550.0,86,550
Episode 87,Reward: 150.0,87,150
Episode 88,Reward: 275.0,88,275
Episode 89,Reward: 525.0,89,525
Episode 90,Reward: 450.0,90,450
Episode 91,Reward: 1025.0,91,1025
Episode 92,Reward: 275.0,92,275
Episode 93,Reward: 575.0,93,575
Episode 94,Reward: 325.0,94,325
Episode 95,Reward: 175.0,95,175
Episode 96,Reward: 325.0,96,325
Episode 97,Reward: 1000.0,97,1000
Episode 98,Reward: 500.0,98,500
Episode 99,Reward: 625.0,99,625
Episode 100,Reward: 275.0,100,275
Episode 101,Reward: 275.0,101,275
Episode 102,Reward: 300.0,102,300
Episode 103,Reward: 275.0,103,275
Episode 104,Reward: 650.0,104,650
Episode 105,Reward: 300.0,105,300
Episode 106,Reward: 175.0,106,175
Episode 107,Reward: 600.0,107,600
Episode 108,Reward: 225.0,108,225
Episode 109,Reward: 300.0,109,300
Episode 110,Reward: 750.0,110,750
Episode 111,Reward: 450.0,111,450
Episode 112,Reward: 175.0,112,175
Episode 113,Reward: 325.0,113,325
Episode 114,Reward: 150.0,114,150
Episode 115,Reward: 150.0,115,150
Episode 116,Reward: 125.0,116,125
Episode 117,Reward: 150.0,117,150
Episode 118,Reward: 425.0,118,425
Episode 119,Reward: 575.0,119,575
Episode 120,Reward: 225.0,120,225
Episode 121,Reward: 150.0,121,150
Episode 122,Reward: 0.0,122,0
Episode 123,Reward: 200.0,123,200
Episode 124,Reward: 425.0,124,425
Episode 125,Reward: 700.0,125,700
Episode 126,Reward: 625.0,126,625
Episode 127,Reward: 475.0,127,475
Episode 128,Reward: 300.0,128,300
Episode 129,Reward: 875.0,129,875
Episode 130,Reward: 350.0,130,350
Episode 131,Reward: 200.0,131,200
Episode 132,Reward: 250.0,132,250
Episode 133,Reward: 475.0,133,475
Episode 134,Reward: 575.0,134,575
Episode 135,Reward: 275.0,135,275
Episode 136,Reward: 300.0,136,300
Episode 137,Reward: 625.0,137,625
Episode 138,Reward: 300.0,138,300
Episode 139,Reward: 625.0,139,625
Episode 140,Reward: 325.0,140,325
Episode 141,Reward: 325.0,141,325
Episode 142,Reward: 350.0,142,350
Episode 143,Reward: 250.0,143,250
Episode 144,Reward: 150.0,144,150
Episode 145,Reward: 175.0,145,175
Episode 146,Reward: 275.0,146,275
